Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api.php?__call=content.getBrowseModules&app_version=9.4.0&device_type=iPhone_XR&_format=json&ctx=iphoneapp&_marker=false&v=947&cc=in&network_type=WIFI&tz=asia/kolkata&network_subtype=WIFI&network_operator=jio&is_jio_user=false&api_version=4,264,0,100.0,168.08895433712064,37.54063399998131,2239.696300999995,142310.27272727274,1.3221850503306194,0.0,100,110,130,150,290,620,1000,1500,2200,2200,2200
GET,/api.php?__call=content.getHomepageDataV2&type=all&app_version=9.4.0&device_type=iPhone_XR&_format=json&ctx=iphoneapp&_marker=false&v=947&cc=in&tz=asia/kolkata&network_operator=jio&is_jio_user=false&api_version=4&type=all,132,0,97,134.52605427272755,51.856297000000495,965.600453999997,92534.54545454546,0.6610925251653097,0.0,97,110,130,140,200,420,630,760,970,970,970
GET,/api.php?__call=library.getAll&move_artist_pref=false&app_version=9.4.0&device_type=iPhone_XR&_format=json&ctx=iphoneapp&_marker=false&v=947&cc=in&network_type=WIFI&network_subtype=WIFI&network_operator=jio&tz=asia/kolkata&dolby_support=true&is_jio_user=false&api_version=4,270,0,79,217.36983640000068,29.785934999999597,3815.9193649999993,77.0,1.3522347105654062,0.0,80,110,120,160,400,1000,2000,2400,3800,3800,3800
POST,/api.php?__call=playlist.create&share=true&contents=~~pQHQxGEl~&listname=1691175780.936543&app_version=9.4.0&device_type=iPhone_XR&_format=json&ctx=iphoneapp&_marker=false&v=947&cc=in&network_type=WIFI&tz=asia/kolkata&network_subtype=WIFI&network_operator=jio&is_jio_user=false&api_version=4,1,0,84.62186700000007,84.62186700000007,84.62186700000007,84.62186700000007,77.0,0.0050082767057978,0.0,85,85,85,85,85,85,85,85,85,85,85
POST,/api.php?__call=playlist.create&share=true&contents=~~pQHQxGEl~&listname=1691175780.939931&app_version=9.4.0&device_type=iPhone_XR&_format=json&ctx=iphoneapp&_marker=false&v=947&cc=in&network_type=WIFI&tz=asia/kolkata&network_subtype=WIFI&network_operator=jio&is_jio_user=false&api_version=4,1,0,93.14826600000004,93.14826600000004,93.14826600000004,93.14826600000004,77.0,0.0050082767057978,0.0,93,93,93,93,93,93,93,93,93,93,93
POST,/api.php?__call=playlist.create&share=true&contents=~~pQHQxGEl~&listname=1691175780.943509&app_version=9.4.0&device_type=iPhone_XR&_format=json&ctx=iphoneapp&_marker=false&v=947&cc=in&network_type=WIFI&tz=asia/kolkata&network_subtype=WIFI&network_operator=jio&is_jio_user=false&api_version=4,1,0,81.22514100000001,81.22514100000001,81.22514100000001,81.22514100000001,77.0,0.0050082767057978,0.0,81,81,81,81,81,81,81,81,81,81,81
POST,/api.php?__call=playlist.create&share=true&contents=~~pQHQxGEl~&listname=1691175787.067725&app_version=9.4.0&device_type=iPhone_XR&_format=json&ctx=iphoneapp&_marker=false&v=947&cc=in&network_type=WIFI&tz=asia/kolkata&network_subtype=WIFI&network_operator=jio&is_jio_user=false&api_version=4,1,0,109.71942400000057,109.71942400000057,109.71942400000057,109.71942400000057,77.0,0.0050082767057978,0.0,110,110,110,110,110,110,110,110,110,110,110
POST,/api.php?__call=playlist.create&share=true&contents=~~pQHQxGEl~&listname=1691175787.7359&app_version=9.4.0&device_type=iPhone_XR&_format=json&ctx=iphoneapp&_marker=false&v=947&cc=in&network_type=WIFI&tz=asia/kolkata&network_subtype=WIFI&network_operator=jio&is_jio_user=false&api_version=4,1,0,30.91458100000022,30.91458100000022,30.91458100000022,30.91458100000022,77.0,0.0050082767057978,0.0,31,31,31,31,31,31,31,31,31,31,31
POST,/api.php?__call=playlist.create&share=true&contents=~~pQHQxGEl~&listname=1691175789.232051&app_version=9.4.0&device_type=iPhone_XR&_format=json&ctx=iphoneapp&_marker=false&v=947&cc=in&network_type=WIFI&tz=asia/kolkata&network_subtype=WIFI&network_operator=jio&is_jio_user=false&api_version=4,1,0,83.50198499999983,83.50198499999983,83.50198499999983,83.50198499999983,77.0,0.0050082767057978,0.0,84,84,84,84,84,84,84,84,84,84,84
POST,/api.php?__call=playlist.create&share=true&contents=~~pQHQxGEl~&listname=1691175790.1256661&app_version=9.4.0&device_type=iPhone_XR&_format=json&ctx=iphoneapp&_marker=false&v=947&cc=in&network_type=WIFI&tz=asia/kolkata&network_subtype=WIFI&network_operator=jio&is_jio_user=false&api_version=4,1,0,315.2738389999996,315.2738389999996,315.2738389999996,315.2738389999996,77.0,0.0050082767057978,0.0,320,320,320,320,320,320,320,320,320,320,320
